시점,총지수 (2015=100)
2010-01,96.71
2010-02,96.88
2010-03,97.33
2010-04,98.04
2010-05,98.87
2010-06,98.98
2010-07,99.23
2010-08,99.53
2010-09,100.1
2010-10,100.47
2010-11,100.82
2010-12,101.75
2011-01,103.32
2011-02,104.09
2011-03,105.34
2011-04,105.99
2011-05,106.31
2011-06,106.07
2011-07,106.21
2011-08,106.35
2011-09,106.43
2011-10,106.33
2011-11,105.99
2011-12,106.09
2012-01,106.64
2012-02,107.37
2012-03,107.9
2012-04,107.95
2012-05,107.35
2012-06,106.05
2012-07,105.58
2012-08,106.23
2012-09,106.61
2012-10,105.78
2012-11,105.05
2012-12,104.79
2013-01,104.96
2013-02,105.68
2013-03,105.26
2013-04,104.93
2013-05,104.57
2013-06,104.55
2013-07,104.53
2013-08,104.82
2013-09,104.71
2013-10,104.34
2013-11,104.13
2013-12,104.37
2014-01,104.65
2014-02,104.78
2014-03,104.74
2014-04,104.58
2014-05,104.56
2014-06,104.61
2014-07,104.69
2014-08,104.58
2014-09,104.2
2014-10,103.47
2014-11,103.15
2014-12,102.14
2015-01,100.89
2015-02,100.96
2015-03,100.84
2015-04,100.8
2015-05,100.87
2015-06,100.82
2015-07,100.45
2015-08,99.83
2015-09,99.39
2015-10,98.71
2015-11,98.32
2015-12,98.09
2016-01,97.56
2016-02,97.56
2016-03,97.5
2016-04,97.74
2016-05,97.86
2016-06,98.09
2016-07,97.98
2016-08,98.07
2016-09,98.3
2016-10,98.59
2016-11,99.03
2016-12,99.9
2017-01,101.35
2017-02,101.74
2017-03,101.7
2017-04,101.48
2017-05,101.21
2017-06,100.81
2017-07,100.89
2017-08,101.35
2017-09,102.03
2017-10,102.14
2017-11,102.04
2017-12,102.09
2018-01,102.52
2018-02,102.95
2018-03,102.91
2018-04,103.04
2018-05,103.34
2018-06,103.37
2018-07,103.85
2018-08,104.32
2018-09,104.62
2018-10,104.26
2018-11,103.53
2018-12,103.03
2019-01,102.92
2019-02,103.02
2019-03,103.38
2019-04,103.68
2019-05,103.79
2019-06,103.5
2019-07,103.5
2019-08,103.74
2019-09,103.8
2019-10,103.56
2019-11,103.41
2019-12,103.7
2020-01,104.08
2020-02,103.74
2020-03,102.82
2020-04,101.93
2020-05,101.96
2020-06,102.48
2020-07,102.71
2020-08,103.22
2020-09,103.42
2020-10,103.01
2020-11,103.09
2020-12,103.9
2021-01,105.05
2021-02,105.91
2021-03,107.04
2021-04,108.06
2021-05,108.65
2021-06,109.22
2021-07,110.28
2021-08,110.86
2021-09,111.27
2021-10,112.43
2021-11,113.23
2021-12,113.21
2022-01,114.4
2022-02,114.95
2022-03,116.7
2022-04,118.02
